PC6,number_of_charger,total_capacity
1057GX,1,11.0
1057HB,1,11.0
1057HE,1,11.0
1057HM,2,22.0
1057HN,1,11.0
1057HR,1,11.0
1057HX,1,11.0
1057JA,1,11.0
1057JH,1,22.0
1057JK,1,11.0
1057JP,2,33.0
1057JS,1,11.0
1057NL,1,22.0
1057PX,1,11.0
1057RE,1,22.0
1057RG,1,11.0
1057RJ,1,11.0
1057RM,1,22.0
1057RR,1,11.0
1057RT,2,33.0
1057RW,1,22.0
1057SC,1,11.0
1057SG,1,11.0
1057SX,2,44.0
1057TE,1,11.0
1057TJ,1,22.0
1057TR,1,22.0
1057VH,1,11.0
1057VP,2,22.0
1057WD,1,22.0
1057WK,1,11.0
1057WR,1,22.0
1057WX,1,22.0
1057XA,1,11.0
1057ZR,1,11.0
1057ZW,3,33.0
1058AA,2,22.0
1058AM,1,11.0
1058AN,2,33.0
1058AS,1,22.0
1058AT,1,11.0
1058AW,1,22.0
1058AZ,1,11.0
1058BC,1,22.0
1058BV,1,11.0
1058BW,1,22.0
1058CV,1,22.0
1058DH,1,11.0
1058DK,1,11.0
1058DN,1,11.0
1058DV,1,22.0
1058GA,4,55.0
1058GD,1,11.0
1058GN,1,11.0
1058GP,1,11.0
1058GR,1,11.0
1058GX,1,22.0
1058HC,2,22.0
1058HE,1,11.0
1058HG,1,11.0
1058HJ,1,11.0
1058HN,1,11.0
1058HP,1,11.0
1058HS,1,11.0
1058HT,2,33.0
1058HW,1,22.0
1058JC,1,11.0
1058JG,1,11.0
1058JL,1,11.0
1058JW,1,11.0
1058KM,1,11.0
1058KN,1,11.0
1058KS,1,11.0
1058KV,1,22.0
1058KX,1,22.0
1058LG,1,22.0
1058LH,1,11.0
1058LL,1,11.0
1058LM,2,44.0
1058LP,1,11.0
1058LT,1,11.0
1058NB,1,11.0
1058NC,1,11.0
1058NE,1,11.0
1058NL,3,44.0
1058SE,1,11.0
1058SL,1,11.0
1058SP,1,11.0
1058SR,1,22.0
1058ST,1,22.0
1058SV,2,33.0
1058TC,1,11.0
1058TD,1,11.0
1058TJ,1,22.0
1058TX,2,33.0
1058VA,1,11.0
1058VD,1,22.0
1058VK,1,22.0
1058VN,1,11.0
1058VV,1,11.0
1058XB,1,11.0
1058XC,1,11.0
1058XD,2,33.0
1058XG,1,22.0
1058XM,1,22.0
1058XT,1,11.0
1058GV,1,11.0
1059AT,1,11.0
1059AV,1,11.0
1059AX,1,11.0
1059BB,1,11.0
1059BC,1,22.0
1059BE,1,11.0
1059BP,1,11.0
1059CB,2,22.0
1059CD,2,22.0
1059CH,1,11.0
1059CL,4,44.0
1059CM,16,1191.0
1059EB,1,11.0
1059ED,2,33.0
1059EV,1,11.0
1059SV,1,22.0
1059SZ,1,22.0
1059TD,1,11.0
1059TG,2,22.0
1059TH,1,11.0
1059TL,1,11.0
1059TS,1,11.0
1059VM,1,11.0
1059VP,1,22.0
1059VR,2,22.0
1059VV,1,11.0
1059VW,1,22.0
1059VX,1,11.0
1059XA,2,22.0
1059XB,1,11.0
1059XD,1,22.0
1059XK,1,11.0
1059XR,1,11.0
1059XT,1,11.0
1059AM,1,11.0
1060MB,1,22.0
1060MJ,3,44.0
1060MN,1,22.0
1060MS,1,11.0
1060NK,1,11.0
1060NL,2,22.0
1060NM,1,22.0
1060NT,1,11.0
1060NX,2,22.0
1060PK,2,22.0
1060PL,1,11.0
1060RA,1,11.0
1060RD,1,11.0
1060RE,1,11.0
1060RK,1,11.0
1060RM,1,22.0
1060RP,1,11.0
1060RR,1,22.0
1060RS,1,11.0
1060RT,1,11.0
1060RX,1,22.0
1060RZ,1,11.0
1060SH,1,22.0
1060SJ,1,11.0
1060ST,1,11.0
1061AN,1,22.0
1061AW,1,11.0
1061BA,1,11.0
1061BD,1,11.0
1061BT,1,11.0
1061BZ,1,11.0
1061CE,1,22.0
1061CZ,1,11.0
1061DG,1,11.0
1061DZ,1,22.0
1061GB,1,11.0
1061GG,1,11.0
1061HK,1,22.0
1061MA,1,22.0
1061MG,2,22.0
1061SB,1,22.0
1061SW,1,22.0
1061TG,1,11.0
1061TT,1,11.0
1061VK,1,22.0
1061XB,1,11.0
1061XH,1,22.0
1061XZ,1,11.0
1062AA,1,11.0
1062AK,1,11.0
1062BM,1,11.0
1062BV,1,22.0
1062CB,2,22.0
1062CG,1,11.0
1062CR,1,22.0
1062DD,1,11.0
1062DJ,1,11.0
1062EV,2,22.0
1062GD,1,11.0
1062HA,1,11.0
1062HC,1,11.0
1062HK,2,22.0
1062HW,1,22.0
1062JN,1,11.0
1062KE,1,22.0
1062KM,1,11.0
1062KS,1,11.0
1062XK,3,111.0
1062XR,1,11.0
1062KM,1,11.0
1063AC,1,11.0
1063AS,1,11.0
1063AX,1,22.0
1063BD,1,11.0
1063BT,1,11.0
1063BX,1,22.0
1063CE,1,11.0
1063CR,1,22.0
1063EC,1,11.0
1063GG,1,11.0
1063HP,1,22.0
1063JV,2,22.0
1063LN,1,11.0
1063MG,1,11.0
1063NE,1,11.0
1063PG,1,11.0
1063TD,1,22.0
