PC6,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area
1012AR,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AS,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AT,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012AV,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012AW,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012AX,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AZ,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012BA,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012BB,0.4118,5.69655,0.0,0.0,0.0,0.0,1.5379500000000002
1012BC,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BD,0.4118,5.69655,0.0,0.0,0.0,0.0,1.5379500000000002
1012BE,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BG,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BH,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012BJ,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012BK,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012BL,0.4118,5.69655,0.0,0.0,0.0,0.0,1.5379500000000002
1012BM,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BN,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BP,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BR,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BS,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BT,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BV,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BW,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BX,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012BZ,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CA,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CB,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CC,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CD,0.0,6.2335,0.0,0.0,0.0,0.0,1.0152
1012CE,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CG,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CH,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CJ,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CK,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CL,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
1012CM,0.0,8.4299,0.0,0.0,0.0,0.0,1.7091
